N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,,Conduct Operations in Depth,C312,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 2.3 C311,
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,3.1,Evaluate adversary capabilities and operations,,Contractor Derrick Edwards,"Yes, not on Watch",5,WK,1,,15,Necessary to understand the adversary capabilities to conduct access and infrastructure planning.,Necessary to understand the adversary capabilities to conduct access and infrastructure planning.,"Yes, not on Watch",Yes,5,WK,1,,15,5.4,Necessary to understand the adversary capabilities to conduct access and infrastructure planning.,N3 FIRES CELL Information OP 5.9.2 2.4 C311,JFHQ-C Navy Access
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,3.2,Evaluate available capabilities and effects against adversary,,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,,30,Necessary to peform task as an Integrated Product Team memeber when planning operations,Necessary to peform task as an Integrated Product Team memeber when planning operations,"Yes, not on Watch",Yes,2,WK,1,,30,4.3,Necessary to peform task as an Integrated Product Team memeber when planning operations,N3 FIRES CELL Information OP 5.9.2 2.5 C311,JFHQ-C Navy Access
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,3.3,Collect options to effect the adversary based upon available capabilities and assets,,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,,30,Work with both internal and external partners to understand available capabilities for usage,Work with both internal and external partners to understand available capabilities for usage,"Yes, not on Watch",Yes,2,WK,1,,30,4.3,Work with both internal and external partners to understand available capabilities for usage,N3 FIRES CELL Information OP 5.9.1.1  C311,JFHQ-C Navy Access
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,10,Assess subordinate operations throughout the AO; recommend adjustments to the plan as required.,C323,Contractor Derrick Edwards,"Yes, not on Watch",1,WK,1,1,0,Conducted as part of the weekly staff meeting,Conducted as part of the weekly staff meeting,"Yes, not on Watch",Yes,1,WK,1,1,0,4.3,Conducted as part of the weekly staff meeting,N3 FIRES CELL Information OP 5.9.1.1 2 C311,JFHQ-C Navy Access
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,12.5,Attend combat assessment WG,C323,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 2.1 C311,
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,12.6,Attend OPTs as required.,C323,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,,30,The IPT conducts OPTs to solve command problems,The IPT conducts OPTs to solve command problems,"Yes, not on Watch",Yes,2,WK,1,,30,4.3,The IPT conducts OPTs to solve command problems,N3 FIRES CELL Information OP 5.9.1.1 2.2 C311,JFHQ-C Navy Access
N3,FIRES CELL,Movement & Maneuver,OP 1.2.4,15.0,Employ organic and supporting force capabilities throughout the AO and/or AOI as required.,C322,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 2.3 C311,
N3,FIRES CELL,Fires,OP 2.8,,Coordinate Target Engagement,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 11 C311,
N3,FIRES CELL,Fires,OP 3.1,6,"Comply with HHQ guidance, SROE, Collateral Damage mitigation and Law of Armed Conflict (LOAC) in employment of fires.",C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 11.1 C311,
N3,FIRES CELL,Fires,OP 3.1,6.1,"Directs staff to review HHQ guidance, SROE, and ROE for applicablity and planned actions coverage",,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 11.2 C311,
N3,FIRES CELL,Fires,OP 3.1,6.2,Directs creation of additional ROE requests as required,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 11.3 C311,
N3,FIRES CELL,Fires,OP 3.1,6.3,"Directs compliance with HHQ guidance, SROE, and ROE",,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 11.4 C311,
N3,FIRES CELL,Fires,OP 3.1,7.0,Request additional authorities and ROEs as required.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 11.5 C311,
N3,FIRES CELL,Fires,OP 3.1,8,Identify high-payoff target (HPT) and develop attack plan.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 11.6 C311,
N3,FIRES CELL,Fires,OP 3.1,8.1,Direct the identification of high payoff targets,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.1.1 11.7 C311,
N3,FIRES CELL,Fires,OP 3.1,8.2,Direct the development of HPT attack plan,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.6.6.1  C311,
N3,FIRES CELL,Fires,OP 3.1,8.3,Facilitate the approval of the HPT attack plan via Fires processes,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.6.6.1 4 C311,
N3,FIRES CELL,Fires,OP 3.1,8.4,Direct promulgation of HPT attack plan,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.6.6.1 4.1 C311,
N3,FIRES CELL,Fires,OP 3.1,9.0,Coordinate Fires priorities with HHQs and supported commander(s).,C311,Contractor Derrick Edwards,"Yes, not on Watch",1,WK,1,,30,Weekly staff meetings with USCC and JFHQ subordinate teams,Weekly staff meetings with USCC and JFHQ subordinate teams,"Yes, not on Watch",Yes,1,WK,1,,30,2.2,Weekly staff meetings with USCC and JFHQ subordinate teams,N3 FIRES CELL Information OP 5.6.6.1 4.2 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1,10,Integrate targeting and fires priorities into ISR collection requirement process.,C311,Contractor Derrick Edwards,"Yes, not on Watch",3,WK,1,,15,Access collection and Planning efforts,Access collection and Planning efforts,"Yes, not on Watch",Yes,3,WK,1,,15,3.3,Access collection and Planning efforts,N3 FIRES CELL Intelligence OP 2.8.1  C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1,10.1,Direct inclusion of ISR collection requirements into the collection management process,,Contractor Derrick Edwards,"Yes, not on Watch",1,WK,1,,30,Access Planning and Collection,Access Planning and Collection,"Yes, not on Watch",Yes,1,WK,1,,30,2.2,Access Planning and Collection,N3 FIRES CELL Intelligence OP 2.8.1 5.0 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1,15,Publish scheme of fires.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.1 7.0 C311,
N3,FIRES CELL,Fires,OP 3.1,15.1,Direct promulagation of the scheme of fires,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.2  C311,
N3,FIRES CELL,Fires,OP 3.1,16,"Publish any associated scheme(s) of maneuver, main and supporting efforts (as applicable).",C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.2 2 C311,
N3,FIRES CELL,Fires,OP 3.1,16.1,"Direct promulgation of any associated scheme(s) of maneuver, main and supporting efforts (as applicable).",,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.2 2.1 C311,
N3,FIRES CELL,Fires,OP 3.1.1,,Develop Targeting Guidance,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.2 2.2 C311,
N3,FIRES CELL,Fires,OP 3.1.1,1.0,Establish and disseminate targeting guidance to include target engagement approval authorities.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.2 2.3 C311,
N3,FIRES CELL,Fires,OP 3.1.1,2.1,Directs performance of adversary dynamic target determination.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.2 6.0 C311,
N3,FIRES CELL,Fires,OP 3.1.1,2.3,Directs creation of dynamic targetting priorities.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.4.1  C311,
N3,FIRES CELL,Fires,OP 3.1.1,4.0,Promulgate timelines for targeting input to subordinates.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.4.1 4 C311,
N3,FIRES CELL,Fires,OP 3.1.1,5.0,Develop target prioritization.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.4.1 4.1 C311,
N3,FIRES CELL,Fires,OP 3.1.1,6,Establish targeting strategy in advance of kinetic and cyber or non-kinetic operations.,C311,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,,30,IPT meetings to support operations,IPT meetings to support operations,"Yes, not on Watch",Yes,2,WK,1,,30,4.3,IPT meetings to support operations,N3 FIRES CELL Intelligence OP 2.8.4.1 4.2 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1.1,6.1,Direct targeting strategy development for operations.,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.4.1 4.3 C311,
N3,FIRES CELL,Fires,OP 3.1.1,6.2,Confirms resourcing (personnel and equipment) in support of planning efforts.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Intelligence OP 2.8.4.1 4.4 C311,
N3,FIRES CELL,Fires,OP 3.1.1,7.0,Coordinate to achieve desired results (by expected conclusion of given phase or time line).,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1  C311,
N3,FIRES CELL,Fires,OP 3.1.1,8.0,Develop TTP to detect dynamic and time-sensitive targets that were anticipated in commander's guidance.,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 1.0 C311,
N3,FIRES CELL,Fires,OP 3.1.1,8.2,"Directs development of network/communications plan including Primary, Alternate, Contingiency, Emergency (PACE).",,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 2 C311,
N3,FIRES CELL,Fires,OP 3.1.1,9,Identify commander's level of acceptable risk for dynamic and time-sensitive targets.,C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 2.1 C311,
N3,FIRES CELL,Fires,OP 3.1.1,9.1,Promulgates Acceptable Level of Risk (ALR) definitions.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 2.2 C311,
N3,FIRES CELL,Fires,OP 3.1.1,9.2,Directs determination of Acceptable Level of Risk (ALR) for operations.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 2.3 C311,
N3,FIRES CELL,Fires,OP 3.1.1,9.3,Directs dissemination of Acceptable Level of Risk (ALR) guidance.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 2.4 C311,
N3,FIRES CELL,Fires,OP 3.1.1,9.4,Directs rehearsals using Accceptable Level of Risk (ALR).,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 2.5 C311,
N3,FIRES CELL,Fires,OP 3.1.1,10,Generate understanding of partner capabilities and limitations to integrate multi-national forces into targeting guidance.,C311,Contractor Derrick Edwards,"Yes, not on Watch",1,WK,1,,15,Apart of multi-national planning purposes,Apart of multi-national planning purposes,"Yes, not on Watch",Yes,1,WK,1,,15,1.1,Apart of multi-national planning purposes,N3 FIRES CELL Fires OP 3.1.1 2.6 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1.1,10.2,Identify partner planners for participation in Functional and Cross Functional Teams (CFTs & FTs),,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 3.0 C311,
N3,FIRES CELL,Fires,OP 3.1.1,10.3,Verify partner planners have appropriate clearance and access.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 4.0 C311,
N3,FIRES CELL,Fires,OP 3.1.1,10.4,Promulgate FT/CFT battle rythm to partner planners.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 5.0 C311,
N3,FIRES CELL,Fires,OP 3.1.1,15,"Develop objectives, guidance and intent for integrating OIE with Cyber, EW, Space, and Maritime Targeting. ",C311,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 6 C311,
N3,FIRES CELL,Fires,OP 3.1.1,15.1,Develops OIE targetting guidance.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 6.1 C311,
N3,FIRES CELL,Fires,OP 3.1.1,15.2,Promulgates OIE targetting guidance.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 6.2 C311,
N3,FIRES CELL,Fires,OP 3.1.1,15.3,Requests inputs for OIE capabilities.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 7.0 C311,
N3,FIRES CELL,Fires,OP 3.1.1,15.4,Prioritizes OIE efforts.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 8 C311,
N3,FIRES CELL,Fires,OP 3.1.2,,Apportion Fires,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 8.1 C311,
N3,FIRES CELL,Fires,OP 3.1.2,1.0,Apportion fires assets to targets and target sets per HHQ guidance.,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 8.2 C311,
N3,FIRES CELL,Fires,OP 3.1.2,2.4,Promulgate approved fires apportionment,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 9 C311,
N3,FIRES CELL,Fires,OP 3.1.2,5.0,Complete targeting cycle planning.,C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 9.1 C311,
N3,FIRES CELL,Fires,OP 3.1.2,6.0,"Appeal theater strategic firepower assignments to JFC, as necessary.",C325,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 9.2 C311,
N3,FIRES CELL,Fires,OP 3.1.2,8.0,Ensure HPTs can be covered by at least one attack system.,C325,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,,30,CEO Planning engagements,CEO Planning engagements,"Yes, not on Watch",Yes,2,WK,1,,30,4.3,CEO Planning engagements,N3 FIRES CELL Fires OP 3.1.1 9.3 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1.2,8.1,Analyze High Payoff Targets (HPT) list,,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,,20,CEO planning process,CEO planning process,"Yes, not on Watch",Yes,2,WK,1,,20,2.9,CEO planning process,N3 FIRES CELL Fires OP 3.1.1 9.4 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1.2,8.2,Analyze available capabilities and effects to attack HPTs,,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,1,0,CEO planning,CEO planning,"Yes, not on Watch",Yes,2,WK,1,1,0,8.7,CEO planning,N3 FIRES CELL Fires OP 3.1.1 10 C311,JFHQ-C Navy Access
N3,FIRES CELL,Fires,OP 3.1.2,8.3,Generate HPT and weapon pairing proposals,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 10.1 C311,
N3,FIRES CELL,Fires,OP 3.1.2,8.4,Evaluate weapon target pairing for HPTs,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 10.2 C311,
N3,FIRES CELL,Fires,OP 3.1.2,8.5,Provide evaluation of HPT weapon target pairing,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 10.3 C311,
N3,FIRES CELL,Fires,OP 3.1.2,9.0,"Establish a process to mitigate and reduce delay, disruption, cancelation, or modification of joint force operations awaiting firepower support.",C312,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Fires OP 3.1.1 10.4 C311,
